bd09mc_X,bd09mc_Y,value,bd09_LNG,bd09_LAT,wgs84_LNG,wgs84_LAT,gcj02_LNG,gcj02_LAT
12530200,3260200,3,112.55947697716758,28.2506281252771,112.54767357449418,28.247807142398646,112.55304206465141,28.244309530995817
12612600,3256400,2,113.2996807171449,28.22039522352309,113.28749012573991,28.217444486973847,113.2932327083449,28.2141298155463
12584200,3259600,4,113.04456195239543,28.245855084770053,113.03235048610196,28.242756890305564,113.03812935844567,28.239513498643053
12582600,3252000,8,113.03018906424053,28.185377894942235,113.0180347596764,28.182439713296837,113.02376171394259,28.17915941095982
12585200,3245200,8,113.05354500749225,28.131237405964537,113.04131474214594,28.12813550550629,113.04711015494985,28.124917705993607
12587200,3262000,2,113.07151111768587,28.264945951352647,113.05918348746796,28.262047408162093,113.06503194152617,28.258858084440483
12613000,3215600,2,113.30327393918363,27.89524529946925,113.29109479566517,27.892295515416915,113.29681699173373,27.889025736089692
12586600,3259200,2,113.06612128462778,28.242672937836918,113.05381135658456,28.239691375387093,113.05964685417801,28.23649300410796
12572600,3260400,3,112.94035851327241,28.252219090804605,112.92846788856109,28.24947730145085,112.93390908795972,28.245962434027767
12586600,3258800,1,113.06612128462778,28.239490694969113,113.05381076833,28.23650895115237,113.05964599993221,28.233310549663344
12547200,3274400,1,112.71218891381338,28.363527015949263,112.70016480247511,28.36082725137945,112.70569004579792,28.357446834056713
12577400,3246600,3,112.98347717773711,28.142386239050893,112.97133722578141,28.140136315341326,112.976890172859,28.136720024363505
12561000,3268400,3,112.83615507414939,28.31583803180458,112.82418012812522,28.313281553773603,112.82966644938831,28.30983438823428
12586800,3264600,2,113.06791789564714,28.285623824119977,113.05562837425735,28.2826744999999,113.06147135702098,28.279480640973333
12591600,3247000,2,113.11103656011184,28.14557140458611,113.09857855777138,28.143063588374186,113.10445407577821,28.139901082224082
12574000,3236400,1,112.95293479040795,28.06113219734698,112.94101520377326,28.05855492246435,112.94646912434617,28.055073959908547
12574400,3270400,2,112.95652801244667,28.331736763349014,112.94453762086727,28.32921704533518,112.95002214795709,28.325735820903393
12636000,3255600,1,113.5098842064103,28.21402929921183,113.49775874368264,28.211163505790406,113.50343085221161,28.207807760694365
12568800,3268600,1,112.90622290390452,28.317428013078842,112.89436302186672,28.31479908525516,112.89977271687698,28.311265047696082
12571200,3255000,2,112.92778223613688,28.209254604310924,112.91594586862068,28.20644506695779,112.92136336411728,28.202915781669766
12678600,3275000,1,113.8925623535345,28.368294724306164,113.8808335944898,28.365476253991442,113.88612766634698,28.361966268583465
12596600,3248600,1,113.1559518355959,28.158311109433164,113.14370340370961,28.155236908077175,113.14953539724675,28.152025031833247
12583400,3254400,4,113.03737550831798,28.2044796937211,113.02519944034474,28.201440353222797,113.03095217415058,28.19817895471785
12560200,3259200,2,112.82896863007194,28.242672937836918,112.8169893077242,28.239975783872833,112.82248294626213,28.236538336166365
12583400,3251800,1,113.03737550831798,28.18378592266607,113.02521730269129,28.180749802579193,113.03096839163679,28.177489239980744
12579600,3260600,4,113.0032398989501,28.253810032343242,112.99104031681043,28.25138559950115,112.99667411573039,28.248024043713862
12585400,3255600,5,113.0553416185116,28.21402929921183,113.04310233495639,28.21094255773798,113.04890941479002,28.207723874742754
